文件名,运行模式,模型类别,特征排序类别,Random_State,Random_state,test_size,精度标准,trRRMSE,trR_square,最佳参数,RRMSE,R_square,@筛选后特征,特征重要性排序,特征数量,特征名,重现命令,打印标识,,,,
y.xlsx,Kzhe,SVR,"[0, 437, 485, 501, 509, 533, 573, 4297, 5517, 9325, 10991, 8951, 3365, 2885, 4818, 413, 421, 461, 453, 2650, 3598, 2914, 7822]",no,0,0.25,RRMSE,1.2931658978895912,-0.228825205,"kernel='rbf',gamma=0.5,C=10",1.035373851394704,0.10302123473004099,"[0, 437, 485, 501, 509, 533, 573, 4297, 5517, 9325, 10991, 8951, 3365, 2885, 4818, 413, 421, 461, 453, 2650, 3598, 2914, 7822]","[0, 437, 485, 501, 509, 533, 573, 4297, 5517, 9325, 10991, 8951, 3365, 2885, 4818, 413, 421, 461, 453, 2650, 3598, 2914, 7822]",23,"face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,right ear wenli mean1200,face wenli variance1326,face wenli variance846,left ear wenli mean739,face wenli mean6,face wenli mean14,face wenli mean54,face wenli mean46,face wenli variance611,face wenli variance1559,face wenli variance875,right ear wenli mean71",,,,,,
重要性排序（转置），按重要性排序,,,,,,,,,,,,,,,,,,,,,,
0,437,485,501,509,533,573,4297,5517,9325,10991,8951,3365,2885,4818,413,421,461,453,2650,3598,2914,7822
RRMSE,R_square,Team,,,,,,,,,,,,,,,,,,,,
0.9311239827663451,-0.444986452,0,,,,,,,,,,,,,,,,,,,,
0.999266849949344,0.001465762592315123,1,,,,,,,,,,,,,,,,,,,,
1.0220151377988722,-0.044514942,2,,,,,,,,,,,,,,,,,,,,
1.1784569781364524,-0.080147327,3,,,,,,,,,,,,,,,,,,,,
1.1802656800637255,-0.393027076,4,,,,,,,,,,,,,,,,,,,,
1.8284818461646086,-0.519702664,5,,,,,,,,,,,,,,,,,,,,
0.9347299436928255,-0.123354373,6,,,,,,,,,,,,,,,,,,,,
2.0196575962079666,-0.359672269,7,,,,,,,,,,,,,,,,,,,,
1.6835584769635399,-0.288349612,8,,,,,,,,,,,,,,,,,,,,
1.154102487152231,-0.035963095,9,,,,,,,,,,,,,,,,,,,,
序号,Measured,Predicted,,,,,,,,,,,,,,,,,,,,
no,1,0.4585425287391438,,,,,,,,,,,,,,,,,,,,
no,1,0.5025563015361222,,,,,,,,,,,,,,,,,,,,
no,1,0.6517355682421735,,,,,,,,,,,,,,,,,,,,
no,1,0.4348883478701624,,,,,,,,,,,,,,,,,,,,
no,1,0.4228254231773331,,,,,,,,,,,,,,,,,,,,
no,1,0.5650171624744509,,,,,,,,,,,,,,,,,,,,
no,1,0.43661631400650974,,,,,,,,,,,,,,,,,,,,
no,1,0.5751999404524268,,,,,,,,,,,,,,,,,,,,
no,1,0.40130742506711153,,,,,,,,,,,,,,,,,,,,
no,1,0.47563903200542135,,,,,,,,,,,,,,,,,,,,
no,1,0.5749631535116866,,,,,,,,,,,,,,,,,,,,
no,1,0.5428024709609719,,,,,,,,,,,,,,,,,,,,
no,1,0.4356704804607212,,,,,,,,,,,,,,,,,,,,
no,1,0.7057142713076119,,,,,,,,,,,,,,,,,,,,
no,1,0.10800027821550645,,,,,,,,,,,,,,,,,,,,
no,1,0.5722849178639787,,,,,,,,,,,,,,,,,,,,
no,1,0.3370876335844194,,,,,,,,,,,,,,,,,,,,
no,1,0.5229005893209484,,,,,,,,,,,,,,,,,,,,
no,1,0.740776156154196,,,,,,,,,,,,,,,,,,,,
no,1,0.5445873287407488,,,,,,,,,,,,,,,,,,,,
no,1,0.7687135469958153,,,,,,,,,,,,,,,,,,,,
no,1,0.6806324654069901,,,,,,,,,,,,,,,,,,,,
no,1,0.4265776258724463,,,,,,,,,,,,,,,,,,,,
no,1,0.27381538927612725,,,,,,,,,,,,,,,,,,,,
no,1,0.4263905941147717,,,,,,,,,,,,,,,,,,,,
no,1,0.4511459589134834,,,,,,,,,,,,,,,,,,,,
no,0,0.4384228362404258,,,,,,,,,,,,,,,,,,,,
no,0,0.43210365251685,,,,,,,,,,,,,,,,,,,,
no,0,0.4236007587981081,,,,,,,,,,,,,,,,,,,,
no,0,0.3972668340032312,,,,,,,,,,,,,,,,,,,,
no,0,0.42643542473254953,,,,,,,,,,,,,,,,,,,,
no,0,0.4323212958743365,,,,,,,,,,,,,,,,,,,,
no,0,0.4264357525439074,,,,,,,,,,,,,,,,,,,,
no,0,0.4119267446791339,,,,,,,,,,,,,,,,,,,,
no,0,0.49196791787500044,,,,,,,,,,,,,,,,,,,,
no,0,0.5419299910164354,,,,,,,,,,,,,,,,,,,,
no,0,0.4688017964176347,,,,,,,,,,,,,,,,,,,,
no,0,0.49193971089101635,,,,,,,,,,,,,,,,,,,,
no,0,0.8402078411912393,,,,,,,,,,,,,,,,,,,,
no,0,0.4672187257456599,,,,,,,,,,,,,,,,,,,,
no,0,0.4724256521055034,,,,,,,,,,,,,,,,,,,,
no,0,0.1923178596932516,,,,,,,,,,,,,,,,,,,,
no,0,0.3165833901431822,,,,,,,,,,,,,,,,,,,,
no,0,0.45913689392817697,,,,,,,,,,,,,,,,,,,,
no,0,0.6380668999703949,,,,,,,,,,,,,,,,,,,,
no,0,0.3803439777119074,,,,,,,,,,,,,,,,,,,,
no,0,0.28722493070989696,,,,,,,,,,,,,,,,,,,,
no,0,0.40446724528307043,,,,,,,,,,,,,,,,,,,,
no,0,0.42692963590963984,,,,,,,,,,,,,,,,,,,,
no,0,0.41478717540963506,,,,,,,,,,,,,,,,,,,,
no,0,0.4067774932824074,,,,,,,,,,,,,,,,,,,,
no,0,0.5444290482532065,,,,,,,,,,,,,,,,,,,,
no,0,0.10033613935168134,,,,,,,,,,,,,,,,,,,,
no,0,0.434525627635844,,,,,,,,,,,,,,,,,,,,
no,0,0.37478118118862347,,,,,,,,,,,,,,,,,,,,
no,0,0.3520900751656202,,,,,,,,,,,,,,,,,,,,
no,0,0.3535625076359729,,,,,,,,,,,,,,,,,,,,
no,0,0.4412767914570569,,,,,,,,,,,,,,,,,,,,
no,0,0.6052463680298185,,,,,,,,,,,,,,,,,,,,
no,0,0.4264354247257983,,,,,,,,,,,,,,,,,,,,
no,1,0.42674619423022053,,,,,,,,,,,,,,,,,,,,
no,1,0.7607466321533548,,,,,,,,,,,,,,,,,,,,
no,0,0.16936358275311508,,,,,,,,,,,,,,,,,,,,
no,0,0.5752390300879006,,,,,,,,,,,,,,,,,,,,
no,0,0.4812079728860297,,,,,,,,,,,,,,,,,,,,
no,0,0.4264340829689881,,,,,,,,,,,,,,,,,,,,
no,0,0.41881633166737053,,,,,,,,,,,,,,,,,,,,
no,1,0.4321435464491656,,,,,,,,,,,,,,,,,,,,
no,0,0.424072646846413,,,,,,,,,,,,,,,,,,,,
no,0,0.40793510222996876,,,,,,,,,,,,,,,,,,,,
no,0,0.41239426661789025,,,,,,,,,,,,,,,,,,,,
no,1,0.45498110031031025,,,,,,,,,,,,,,,,,,,,
no,1,0.483419013139995,,,,,,,,,,,,,,,,,,,,
no,1,0.5197120348489827,,,,,,,,,,,,,,,,,,,,
no,1,0.427150445960936,,,,,,,,,,,,,,,,,,,,
no,0,0.4263481135593003,,,,,,,,,,,,,,,,,,,,
no,0,0.4251814886996458,,,,,,,,,,,,,,,,,,,,
no,1,0.42647714302521234,,,,,,,,,,,,,,,,,,,,
no,0,0.686606706025451,,,,,,,,,,,,,,,,,,,,
no,1,0.43002755031201656,,,,,,,,,,,,,,,,,,,,
no,0,0.4527046150501672,,,,,,,,,,,,,,,,,,,,
no,0,0.38781367034302183,,,,,,,,,,,,,,,,,,,,
no,1,0.5342103978854723,,,,,,,,,,,,,,,,,,,,
no,1,0.6840034633013776,,,,,,,,,,,,,,,,,,,,
no,1,0.6452000846769632,,,,,,,,,,,,,,,,,,,,
no,1,0.7974913363584919,,,,,,,,,,,,,,,,,,,,
no,1,0.6723919967794528,,,,,,,,,,,,,,,,,,,,
no,0,0.4371426658645205,,,,,,,,,,,,,,,,,,,,
no,0,0.42275551879390033,,,,,,,,,,,,,,,,,,,,
no,1,0.762676789687087,,,,,,,,,,,,,,,,,,,,
